Installs,Install Day,Day 0,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Day 10,Day 14,Day 18,Day 21
155,2020-11-22,0.225,0.300,0.327,0.410,0.429,0.454,0.466,0.481,0.527,0.562,0.591,0.616
151,2020-10-14,0.174,0.242,0.281,0.318,0.346,0.368,0.387,0.404,0.440,0.496,0.536,0.566
151,2020-11-01,0.206,0.290,0.339,0.363,0.391,0.419,0.433,0.453,0.497,0.567,0.598,0.614
126,2020-11-19,0.217,0.320,0.375,0.432,0.453,0.488,0.510,0.522,0.575,0.638,0.683,0.707
115,2020-12-05,0.205,0.281,0.332,0.356,0.387,0.411,0.437,0.470,0.549,0.624,0.656,0.677
114,2020-12-04,0.280,0.378,0.444,0.484,0.539,0.574,0.630,0.667,0.794,0.896,0.951,1.002
111,2020-10-15,0.162,0.245,0.280,0.328,0.373,0.468,0.484,0.533,0.579,0.657,0.685,0.715
111,2020-11-28,0.194,0.243,0.256,0.270,0.282,0.285,0.292,0.294,0.312,0.319,0.329,0.340
107,2020-11-23,0.209,0.268,0.335,0.355,0.379,0.402,0.421,0.445,0.546,0.592,0.618,0.635
106,2020-09-23,0.228,0.326,0.378,0.413,0.435,0.453,0.477,0.498,0.526,0.572,0.594,0.609
103,2020-10-02,0.157,0.221,0.221,0.221,0.221,0.302,0.309,0.316,0.355,0.390,0.425,0.429
100,2020-10-01,0.224,0.326,0.326,0.326,0.326,0.468,0.516,0.543,0.579,0.603,0.626,0.646
96,2020-10-03,0.159,0.203,0.203,0.203,0.203,0.297,0.309,0.319,0.342,0.356,0.386,0.412
87,2020-10-19,0.101,0.139,0.159,0.172,0.179,0.200,0.212,0.234,0.256,0.270,0.286,0.298
80,2020-10-16,0.330,0.531,0.588,0.665,0.689,0.723,0.752,0.783,0.864,0.906,0.934,0.951
76,2020-10-24,0.203,0.296,0.379,0.440,0.488,0.555,0.597,0.648,0.748,0.849,0.922,0.973
70,2020-09-24,0.184,0.239,0.262,0.278,0.281,0.287,0.292,0.297,0.315,0.383,0.412,0.424
66,2020-10-27,0.173,0.229,0.259,0.267,0.289,0.297,0.322,0.329,0.412,0.458,0.478,0.497
63,2020-09-22,0.165,0.229,0.297,0.334,0.364,0.398,0.422,0.452,0.491,0.547,0.573,0.605
60,2020-11-30,0.157,0.242,0.273,0.314,0.339,0.377,0.393,0.413,0.463,0.509,0.527,0.542
56,2020-10-17,0.151,0.217,0.267,0.327,0.393,0.443,0.452,0.473,0.514,0.542,0.572,0.586
46,2020-10-04,0.159,0.238,0.238,0.238,0.238,0.357,0.389,0.410,0.454,0.488,0.524,0.538
42,2020-10-31,0.160,0.243,0.330,0.346,0.368,0.378,0.397,0.430,0.460,0.518,0.543,0.558
38,2020-09-21,0.248,0.325,0.378,0.389,0.399,0.404,0.407,0.416,0.435,0.447,0.457,0.459
36,2020-09-25,0.138,0.204,0.233,0.240,0.254,0.274,0.280,0.285,0.310,0.332,0.338,0.352
36,2020-09-30,0.128,0.230,0.230,0.230,0.230,0.360,0.375,0.386,0.423,0.456,0.470,0.475
35,2020-10-25,0.088,0.123,0.157,0.174,0.190,0.234,0.247,0.281,0.345,0.369,0.384,0.391
33,2020-10-26,0.106,0.196,0.211,0.243,0.246,0.268,0.268,0.276,0.320,0.363,0.387,0.403
32,2020-09-26,0.066,0.106,0.121,0.132,0.137,0.140,0.144,0.145,0.176,0.190,0.210,0.217
32,2020-11-29,0.256,0.297,0.317,0.320,0.350,0.355,0.359,0.361,0.407,0.421,0.440,0.446
24,2020-10-18,0.241,0.254,0.324,0.345,0.409,0.429,0.482,0.503,0.557,0.616,0.737,0.815
22,2020-10-29,0.422,0.517,0.592,0.641,0.678,0.693,0.725,0.729,0.760,0.783,0.795,0.796
22,2020-10-30,0.131,0.178,0.258,0.274,0.280,0.392,0.419,0.474,0.497,0.567,0.720,0.745
21,2020-09-27,0.103,0.168,0.222,0.268,0.298,0.317,0.354,0.384,0.420,0.477,0.519,0.548
20,2020-10-28,0.109,0.158,0.178,0.225,0.233,0.254,0.261,0.279,0.394,0.454,0.514,0.524
17,2020-09-28,0.140,0.207,0.223,0.250,0.253,0.258,0.261,0.264,0.304,0.318,0.357,0.376
16,2020-09-29,0.080,0.084,0.084,0.084,0.084,0.090,0.090,0.091,0.096,0.107,0.108,0.108
