Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Day 10,Day 14,Day 18,Day 21
31.13%,23.18%,20.53%,15.89%,17.22%,13.25%,11.26%,12.58%,7.95%,5.96%,2.65%
30.16%,24.60%,20.63%,13.49%,15.08%,10.32%,7.94%,9.52%,7.94%,7.94%,3.97%
37.39%,27.83%,19.13%,16.52%,16.52%,15.65%,14.78%,11.30%,8.70%,7.83%,6.09%
40.35%,26.32%,20.18%,14.91%,13.16%,14.04%,9.65%,7.89%,5.26%,4.39%,7.02%
36.04%,21.62%,21.62%,18.92%,18.92%,12.61%,11.71%,10.81%,9.91%,8.11%,7.21%
27.03%,8.11%,10.81%,10.81%,4.50%,9.01%,4.50%,3.60%,3.60%,4.50%,2.70%
31.78%,23.36%,16.82%,14.95%,12.15%,10.28%,14.02%,14.02%,7.48%,5.61%,5.61%
42.45%,27.36%,21.70%,18.87%,15.09%,15.09%,16.98%,9.43%,9.43%,10.38%,8.49%
34.95%,13.59%,14.56%,13.59%,7.77%,8.74%,6.80%,4.85%,4.85%,3.88%,4.85%
32.00%,26.00%,19.00%,18.00%,18.00%,10.00%,16.00%,6.00%,3.00%,6.00%,5.00%
28.13%,23.96%,13.54%,13.54%,17.71%,8.33%,11.46%,4.17%,5.21%,5.21%,7.29%
31.03%,17.24%,12.64%,8.05%,10.34%,13.79%,14.94%,3.45%,3.45%,8.05%,3.45%
47.50%,23.75%,23.75%,18.75%,11.25%,13.75%,12.50%,11.25%,6.25%,5.00%,7.50%
42.11%,30.26%,26.32%,28.95%,31.58%,25.00%,22.37%,17.11%,10.53%,13.16%,9.21%
27.14%,12.86%,12.86%,11.43%,10.00%,11.43%,7.14%,7.14%,10.00%,7.14%,2.86%
18.18%,25.76%,10.61%,16.67%,12.12%,13.64%,7.58%,7.58%,4.55%,6.06%,6.06%
36.51%,33.33%,19.05%,22.22%,20.63%,22.22%,17.46%,17.46%,9.52%,11.11%,9.52%
36.67%,23.33%,20.00%,23.33%,16.67%,13.33%,13.33%,8.33%,13.33%,3.33%,5.00%
33.93%,28.57%,25.00%,21.43%,14.29%,12.50%,12.50%,8.93%,3.57%,1.79%,5.36%
30.43%,32.61%,17.39%,30.43%,17.39%,19.57%,15.22%,10.87%,6.52%,6.52%,4.35%
47.62%,26.19%,19.05%,21.43%,14.29%,11.90%,19.05%,14.29%,16.67%,7.14%,7.14%
36.84%,36.84%,18.42%,18.42%,10.53%,7.89%,7.89%,18.42%,5.26%,5.26%,5.26%
16.67%,27.78%,16.67%,16.67%,13.89%,13.89%,5.56%,13.89%,11.11%,2.78%,5.56%
30.56%,27.78%,25.00%,13.89%,19.44%,22.22%,13.89%,16.67%,5.56%,5.56%,5.56%
20.00%,22.86%,22.86%,14.29%,11.43%,5.71%,11.43%,0.00%,11.43%,8.57%,0.00%
48.48%,18.18%,12.12%,9.09%,15.15%,0.00%,9.09%,6.06%,6.06%,6.06%,0.00%
21.88%,25.00%,18.75%,12.50%,9.38%,12.50%,6.25%,15.63%,3.13%,3.13%,6.25%
28.13%,21.88%,9.38%,9.38%,12.50%,6.25%,6.25%,3.13%,12.50%,0.00%,3.13%
16.67%,20.83%,20.83%,20.83%,12.50%,25.00%,8.33%,4.17%,8.33%,8.33%,8.33%
50.00%,45.45%,40.91%,40.91%,27.27%,27.27%,18.18%,4.55%,9.09%,9.09%,0.00%
18.18%,22.73%,18.18%,9.09%,9.09%,9.09%,9.09%,4.55%,13.64%,13.64%,9.09%
38.10%,38.10%,38.10%,23.81%,23.81%,19.05%,19.05%,14.29%,9.52%,14.29%,9.52%
40.00%,15.00%,20.00%,10.00%,20.00%,15.00%,10.00%,25.00%,25.00%,10.00%,5.00%
47.06%,5.88%,23.53%,17.65%,5.88%,5.88%,17.65%,11.76%,11.76%,5.88%,11.76%
18.75%,6.25%,12.50%,0.00%,6.25%,6.25%,6.25%,0.00%,12.50%,0.00%,0.00%
